barcode,brand,image,name,url
,Penaten,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/26275-penaten-baby-bebek-pudrasi-100-ml-penaten-baby-bebek-pudrasi-100-ml-200001-penatenpuder-neu-600x600.jpg,Penaten Baby Bebek Pudrası 100 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Pierre Cardin,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/22710-pierre-cardin-luks-nakisli-alt-acma-minderi-ekru-pierre-cardin-luks-nakisli-alt-acma-minderi-ekru-pc-nakisli-alt-acma-ekru-1.jpg,Pierre Cardin Lüks Nakışlı Alt Açma Minderi - Ekru,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Pierre Cardin,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/22713-pierre-cardin-luks-nakisli-alt-acma-minderi-mavi-pierre-cardin-luks-nakisli-alt-acma-minderi-mavi-pc-nakisli-alt-acma-mavi-1.jpg,Pierre Cardin Lüks Nakışlı Alt Açma Minderi - Mavi,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Pierre Cardin,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/22714-pierre-cardin-luks-nakisli-alt-acma-minderi-pembe-pierre-cardin-luks-nakisli-alt-acma-minderi-pembe-pc-nakisli-alt-acma-pembe-1.jpg,Pierre Cardin Lüks Nakışlı Alt Açma Minderi - Pembe,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Japlo,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/22592-japlo-pudra-kabi-mavi-japlo-pudra-kabi-mavi-pudra-kabi-mavi-ikili-resim-1.jpg,Japlo Pudra Kabı - Mavi,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Japlo,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/22591-japlo-pudra-kabi-pembe-pudra-kabi-pembe-ikili-resim-1-jpg-pudra-kabi-pembe-ikili-resim-1.jpg,Japlo Pudra Kabı - Pembe,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/21041-uni-baby-sac-ve-vucut-sampuani-700ml-uni-baby-sac-ve-vucut-sampuani-700ml-8692190009318.jpg,Uni Baby Saç Ve Vücut Şampuanı 700ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/21042-uni-baby-papatya-ozlu-sac-ve-vucut-sampuani-700ml-uni-baby-papatya-ozlu-sac-ve-vucut-sampuani-700ml-8692190009332.jpg,Uni Baby Papatya Özlü Saç Ve Vücut Şampuanı 700ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/21043-uni-baby-sac-ve-vucut-sampuani-500ml-uni-baby-sac-ve-vucut-sampuani-500ml-uni-baby-sac-ve-vucut-sampuani-500-ml.jpg,Uni Baby Saç Ve Vücut Şampuanı 500ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/21045-uni-baby-konsantre-camasir-yumusatici-1200-ml-uni-baby-konsantre-camasir-yumusatici-1200-ml-uni-baby-konsantre-yumusatici.png,Uni Baby Konsantre Çamaşır Yumuşatıcı 1200 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
